country,year,pop,continent,lifeExp,gdpPercap
0,1952,8425333.0,3,28.801,779.4453145
0,1957,9240934.0,3,30.332,820.8530296
0,1962,10267083.0,3,31.997,853.10071
0,1967,11537966.0,3,34.02,836.1971382
0,1972,13079460.0,3,36.088,739.9811058
0,1977,14880372.0,3,38.438,786.11336
0,1982,12881816.0,3,39.854,978.0114388
0,1987,13867957.0,3,40.822,852.3959448
0,1992,16317921.0,3,41.674,649.3413952
0,1997,22227415.0,3,41.763,635.341351
0,2002,25268405.0,3,42.129,726.7340548
0,2007,31889923.0,3,43.828,974.5803384
1,1952,1282697.0,4,55.23,1601.056136
1,1957,1476505.0,4,59.28,1942.284244
1,1962,1728137.0,4,64.82,2312.888958
1,1967,1984060.0,4,66.22,2760.196931
1,1972,2263554.0,4,67.69,3313.422188
1,1977,2509048.0,4,68.93,3533.00391
1,1982,2780097.0,4,70.42,3630.880722
1,1987,3075321.0,4,72.0,3738.932735
1,1992,3326498.0,4,71.581,2497.437901
1,1997,3428038.0,4,72.95,3193.054604
1,2002,3508512.0,4,75.651,4604.211737
1,2007,3600523.0,4,76.423,5937.029526
2,1952,9279525.0,1,43.077,2449.008185
2,1957,10270856.0,1,45.685,3013.976023
2,1962,11000948.0,1,48.303,2550.81688
2,1967,12760499.0,1,51.407,3246.991771
2,1972,14760787.0,1,54.518,4182.663766
2,1977,17152804.0,1,58.014,4910.416756
2,1982,20033753.0,1,61.368,5745.160213
2,1987,23254956.0,1,65.799,5681.358539
2,1992,26298373.0,1,67.744,5023.216647
2,1997,29072015.0,1,69.152,4797.295051
2,2002,31287142.0,1,70.994,5288.040382
2,2007,33333216.0,1,72.301,6223.367465
3,1952,4232095.0,1,30.015,3520.610273
3,1957,4561361.0,1,31.999,3827.940465
3,1962,4826015.0,1,34.0,4269.276742
3,1967,5247469.0,1,35.985,5522.776375
3,1972,5894858.0,1,37.928,5473.288005
3,1977,6162675.0,1,39.483,3008.647355
3,1982,7016384.0,1,39.942,2756.953672
3,1987,7874230.0,1,39.906,2430.208311
3,1992,8735988.0,1,40.647,2627.845685
3,1997,9875024.0,1,40.963,2277.140884
3,2002,10866106.0,1,41.003,2773.287312
3,2007,12420476.0,1,42.731,4797.231267
4,1952,17876956.0,2,62.485,5911.315053
4,1957,19610538.0,2,64.399,6856.856212
4,1962,21283783.0,2,65.142,7133.166023
4,1967,22934225.0,2,65.634,8052.953021
4,1972,24779799.0,2,67.065,9443.038526
4,1977,26983828.0,2,68.481,10079.02674
4,1982,29341374.0,2,69.942,8997.897412
4,1987,31620918.0,2,70.774,9139.671389
4,1992,33958947.0,2,71.868,9308.41871
4,1997,36203463.0,2,73.275,10967.28195
4,2002,38331121.0,2,74.34,8797.640716
4,2007,40301927.0,2,75.32,12779.37964
5,1952,8691212.0,5,69.12,10039.59564
5,1957,9712569.0,5,70.33,10949.64959
5,1962,10794968.0,5,70.93,12217.22686
5,1967,11872264.0,5,71.1,14526.12465
5,1972,13177000.0,5,71.93,16788.62948
5,1977,14074100.0,5,73.49,18334.19751
5,1982,15184200.0,5,74.74,19477.00928
5,1987,16257249.0,5,76.32,21888.88903
5,1992,17481977.0,5,77.56,23424.76683
5,1997,18565243.0,5,78.83,26997.93657
5,2002,19546792.0,5,80.37,30687.75473
5,2007,20434176.0,5,81.235,34435.36744
6,1952,6927772.0,4,66.8,6137.076492
6,1957,6965860.0,4,67.48,8842.59803
6,1962,7129864.0,4,69.54,10750.72111
6,1967,7376998.0,4,70.14,12834.6024
6,1972,7544201.0,4,70.63,16661.6256
6,1977,7568430.0,4,72.17,19749.4223
6,1982,7574613.0,4,73.18,21597.08362
6,1987,7578903.0,4,74.94,23687.82607
6,1992,7914969.0,4,76.04,27042.01868
6,1997,8069876.0,4,77.51,29095.92066
6,2002,8148312.0,4,78.98,32417.60769
6,2007,8199783.0,4,79.829,36126.4927
7,1952,120447.0,3,50.939,9867.084765
7,1957,138655.0,3,53.832,11635.79945
7,1962,171863.0,3,56.923,12753.27514
7,1967,202182.0,3,59.923,14804.6727
7,1972,230800.0,3,63.3,18268.65839
7,1977,297410.0,3,65.593,19340.10196
7,1982,377967.0,3,69.052,19211.14731
7,1987,454612.0,3,70.75,18524.02406
7,1992,529491.0,3,72.601,19035.57917
7,1997,598561.0,3,73.925,20292.01679
7,2002,656397.0,3,74.795,23403.55927
7,2007,708573.0,3,75.635,29796.04834
8,1952,46886859.0,3,37.484,684.2441716
8,1957,51365468.0,3,39.348,661.6374577
8,1962,56839289.0,3,41.216,686.3415538
8,1967,62821884.0,3,43.453,721.1860862
8,1972,70759295.0,3,45.252,630.2336265
8,1977,80428306.0,3,46.923,659.8772322
8,1982,93074406.0,3,50.009,676.9818656
8,1987,103764241.0,3,52.819,751.9794035
8,1992,113704579.0,3,56.018,837.8101643
8,1997,123315288.0,3,59.412,972.7700352
8,2002,135656790.0,3,62.013,1136.39043
8,2007,150448339.0,3,64.062,1391.253792
9,1952,8730405.0,4,68.0,8343.105127
9,1957,8989111.0,4,69.24,9714.960623
9,1962,9218400.0,4,70.25,10991.20676
9,1967,9556500.0,4,70.94,13149.04119
9,1972,9709100.0,4,71.44,16672.14356
9,1977,9821800.0,4,72.8,19117.97448
9,1982,9856303.0,4,73.93,20979.84589
9,1987,9870200.0,4,75.35,22525.56308
9,1992,10045622.0,4,76.46,25575.57069
9,1997,10199787.0,4,77.53,27561.19663
9,2002,10311970.0,4,78.32,30485.88375
9,2007,10392226.0,4,79.441,33692.60508
10,1952,1738315.0,1,38.223,1062.7522
10,1957,1925173.0,1,40.358,959.6010805
10,1962,2151895.0,1,42.618,949.4990641
10,1967,2427334.0,1,44.885,1035.831411
10,1972,2761407.0,1,47.014,1085.796879
10,1977,3168267.0,1,49.19,1029.161251
10,1982,3641603.0,1,50.904,1277.897616
10,1987,4243788.0,1,52.337,1225.85601
10,1992,4981671.0,1,53.919,1191.207681
