Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Image
1,359.215462,56.621388,359.217994,56.623388,235,13,240.341,20.244,1,+278733,1.0000,+962.691,adu,-13.6130,+0.0037,1,E,2581.605713,2558.413152,2639.779681,2552.051758,2645.735162,0.000000,177.619477,67.327100,6,6,6,0,9,15,113.84,0,445,4.72,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
2,359.297087,56.622831,359.296888,56.622673,401,14,400.582,13.426,1,+11466.6,1.0000,+329.117,adu,-10.1486,+0.0312,1,E,2558.577515,2563.001437,2558.669839,2554.591064,2558.803535,0.000000,26.187580,25.923408,6,6,6,0,9,15,113.84,0,428,0.94,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
3,359.410160,56.625449,359.410625,56.625464,631,18,631.947,18.029,1,+27891.7,1.0000,+338.859,adu,-11.1137,+0.0132,1,E,2558.850342,2558.187368,2558.009631,2556.859131,2558.125053,0.000000,24.327055,24.736353,6,6,6,0,9,15,113.84,0,459,4.52,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
4,359.492292,56.626771,359.492356,56.626918,798,19,798.143,19.540,1,+16855.6,1.0000,+328.566,adu,-10.5669,+0.0212,1,E,2557.727539,2554.580147,2556.828204,2566.133545,2556.954311,0.000000,25.422279,25.322192,6,6,6,0,9,15,113.84,0,459,5.03,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
5,359.450505,56.625701,359.448089,56.625697,713,17,708.092,17.099,1,+6391.86,1.0000,+316.227,adu,-9.5141,+0.0537,1,E,2560.635010,2548.437176,2560.068038,2563.064941,2560.194089,0.000000,25.432829,25.657207,6,6,6,0,9,15,113.84,0,457,88.06,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
6,359.160782,56.622470,359.160916,56.622769,124,20,124.302,21.099,1,+9956.07,1.0000,+341.972,adu,-9.9952,+0.0373,1,E,2560.553955,2549.110345,2559.597413,2554.264404,2559.740321,0.000000,27.077591,27.441694,6,6,6,0,9,15,113.84,0,459,4.13,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
7,359.217829,56.623319,359.217983,56.623391,240,20,240.319,20.256,1,+278732,1.0000,+962.690,adu,-13.6130,+0.0037,1,E,2581.605713,2558.413152,2639.779681,2552.926758,2645.735162,0.000000,177.619477,67.327100,6,6,6,0,9,15,113.84,0,445,4.33,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
8,359.397336,56.626093,359.397305,56.626098,605,21,604.937,21.021,1,+21943.6,1.0000,+354.601,adu,-10.8533,+0.0175,1,E,2557.927734,2559.819379,2555.595236,2556.374023,2555.743337,0.000000,27.543545,27.029468,6,6,6,0,9,15,113.84,0,459,4.32,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
9,359.376678,56.625818,359.376619,56.626034,563,21,562.901,21.799,1,+19102.1,1.0000,+345.605,adu,-10.7027,+0.0196,1,E,2555.064697,2554.792789,2555.469101,2555.485596,2555.593176,0.000000,25.210102,26.558081,6,6,6,0,9,15,113.84,0,456,4.32,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
10,359.438654,56.626633,359.438623,56.626511,689,21,688.927,20.554,1,+3142.01,1.0000,+348.669,adu,-8.7430,+0.1205,1,E,2557.343506,2561.726073,2557.574823,2561.131348,2557.731077,0.000000,28.302463,28.877759,6,6,6,0,9,15,113.84,0,460,12.25,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
