Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Image
1,359.215320,56.621343,359.217880,56.623411,235,13,240.400,20.493,1,+672595,1.0000,+1809.46,adu,-14.5694,+0.0029,1,E,7052.152832,7020.555275,7213.868101,6991.464355,7230.769701,0.000000,494.657580,134.928203,6,6,6,0,9,15,113.84,0,446,4.55,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
2,359.232559,56.621045,359.232865,56.621217,270,11,270.639,11.619,1,+21509.0,1.0000,+576.396,adu,-10.8315,+0.0291,1,E,6995.591797,7020.023734,6996.603304,6992.379395,6996.761290,0.000000,47.075734,46.256738,6,6,6,0,9,15,113.84,0,413,3.85,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
3,359.296952,56.622747,359.296771,56.622604,401,14,400.621,13.482,1,+41024.7,1.0000,+562.881,adu,-11.5326,+0.0149,1,E,6996.704590,6990.756534,6996.802685,6996.669922,6996.986825,0.000000,50.821921,43.735781,6,6,6,0,9,15,113.84,0,427,0.26,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
4,359.473066,56.624467,359.473035,56.624524,759,12,758.941,12.213,1,+8388.39,1.0000,+863.963,adu,-9.8092,+0.1118,1,E,6990.031982,6985.593911,7018.894784,6985.891602,7019.806204,0.000000,113.256603,71.080303,6,6,6,0,9,15,113.84,0,402,0.26,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
5,359.583757,56.625489,359.583907,56.625302,984,11,984.290,10.301,1,+49298.7,1.0000,+575.672,adu,-11.7321,+0.0127,1,E,6967.848145,6914.965936,6967.993924,6967.021973,6968.124079,0.000000,42.647328,43.517617,6,6,6,0,9,15,113.84,0,369,4.21,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
6,359.178382,56.621898,359.178881,56.621633,160,17,160.988,15.998,1,+20509.7,1.0000,+693.727,adu,-10.7799,+0.0367,1,E,7007.132568,6984.231665,7019.908003,6995.551758,7020.316384,0.000000,75.806693,56.783164,6,6,6,0,9,15,113.84,0,446,4.81,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
7,359.410528,56.625319,359.410475,56.625410,632,18,631.900,18.340,1,+89738.2,1.0000,+589.500,adu,-12.3824,+0.0071,1,E,6984.661621,6969.318646,6986.636490,6987.397949,6986.784488,0.000000,45.525457,42.576680,6,6,6,0,9,15,113.84,0,457,3.94,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
8,359.544844,56.626401,359.545004,56.626485,905,16,905.333,16.302,1,+13510.6,1.0000,+745.718,adu,-10.3267,+0.0599,1,E,6997.618896,6995.911775,7016.052182,6964.981445,7016.893078,0.000000,108.749851,61.675781,6,6,6,0,9,15,113.84,0,450,3.80,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
9,359.308732,56.623449,359.308779,56.623348,425,16,425.087,15.628,1,+14814.3,1.0000,+790.211,adu,-10.4267,+0.0579,1,E,7019.710449,7039.236792,7032.360837,6997.392090,7032.786593,0.000000,77.470633,65.360059,6,6,6,0,9,15,113.84,0,449,3.83,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
10,359.447421,56.625779,359.447749,56.625670,707,18,707.658,17.583,1,+18463.8,1.0000,+574.502,adu,-10.6658,+0.0338,1,E,6983.355957,6967.124754,6984.556310,6986.655762,6984.718748,0.000000,47.687959,46.790088,6,6,6,0,9,15,113.84,0,455,4.09,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
11,359.491683,56.626589,359.492334,56.626871,797,19,798.345,20.012,1,+52837.6,1.0000,+531.515,adu,-11.8074,+0.0109,1,E,6975.501221,6992.285825,6974.728205,6978.622559,6974.855196,0.000000,42.134895,40.197656,6,6,6,0,9,15,113.84,0,458,4.40,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
12,359.161130,56.622460,359.160898,56.622694,125,20,124.552,20.876,1,+34019.4,1.0000,+578.070,adu,-11.3293,+0.0184,1,E,7000.870605,7006.472784,7002.917356,6995.104004,7003.084795,0.000000,48.479573,45.962939,6,6,6,0,9,15,113.84,0,459,3.90,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
13,359.217690,56.623275,359.217898,56.623411,240,20,240.435,20.491,1,+672595,1.0000,+1809.46,adu,-14.5694,+0.0029,1,E,7052.152832,7020.555275,7213.868101,6993.280273,7230.769701,0.000000,494.657580,134.928203,6,6,6,0,9,15,113.84,0,446,4.14,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
14,359.341640,56.624971,359.340371,56.625493,492,20,489.469,21.986,1,+20342.4,1.0000,+1174.81,adu,-10.7710,+0.0627,1,E,7020.126465,7013.448678,7181.920430,6992.218262,7205.398584,0.000000,581.849187,97.528223,6,6,6,0,9,15,113.84,0,445,11.19,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
15,359.376552,56.625698,359.376507,56.625969,563,21,562.931,22.001,1,+51982.1,1.0000,+654.188,adu,-11.7896,+0.0137,1,E,6987.492188,7026.030602,6991.503472,6986.696777,6991.685726,0.000000,50.537717,51.431602,6,6,6,0,9,15,113.84,0,458,4.13,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
16,359.397212,56.625963,359.397129,56.626033,605,21,604.837,21.261,1,+65091.2,1.0000,+565.145,adu,-12.0338,+0.0094,1,E,6985.170410,7014.945507,6985.457223,6986.721191,6985.597756,0.000000,44.358665,42.307158,6,6,6,0,9,15,113.84,0,459,3.88,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
17,359.534471,56.627365,359.534820,56.627436,884,20,884.714,20.245,1,+6858.84,1.0000,+622.644,adu,-9.5906,+0.0986,1,E,6979.173340,7008.786782,6979.806975,6965.585449,6980.016007,0.000000,54.078507,51.716777,6,6,6,0,9,15,113.84,0,454,3.48,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
18,359.438533,56.626483,359.438567,56.626578,689,21,689.077,21.351,1,+14029.2,1.0000,+605.629,adu,-10.3676,+0.0469,1,E,6988.104004,6968.564563,6992.072562,6987.281738,6992.256359,0.000000,50.754103,49.752266,6,6,6,0,9,15,113.84,0,452,3.95,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
19,359.198457,56.624085,359.198201,56.624213,201,24,200.493,24.487,1,+32092.1,1.0000,+833.207,adu,-11.2660,+0.0282,1,E,7010.362305,6994.473574,7059.078579,6995.514160,7062.222130,0.000000,210.926310,68.132813,6,6,6,0,9,15,113.84,0,450,3.48,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
20,359.338629,56.626287,359.340389,56.625495,486,25,489.505,21.994,1,+19967.1,1.0000,+1131.77,adu,-10.7508,+0.0615,1,E,7021.140625,7014.949155,7179.560295,6994.035645,7202.686027,0.000000,577.363910,93.915234,6,6,6,0,9,15,113.84,0,445,3.80,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
21,359.623447,56.630267,359.623790,56.630333,1065,27,1065.702,27.229,1,+22852.3,1.0000,+669.343,adu,-10.8973,+0.0318,1,E,6985.270020,6964.513172,6990.117473,6973.097656,6990.314421,0.000000,52.531006,54.644619,6,6,6,0,9,15,113.84,0,454,4.22,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
22,359.182627,56.625755,359.182685,56.625412,169,31,169.083,29.731,1,+27857.3,1.0000,+696.131,adu,-11.1123,+0.0271,1,E,7005.895020,6993.250197,7019.101378,6995.431641,7019.497834,0.000000,74.686565,56.586914,6,6,6,0,9,15,113.84,0,450,4.20,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
23,359.348865,56.628591,359.349151,56.628546,507,33,507.577,32.821,1,+163626,1.0000,+1436.65,adu,-13.0346,+0.0095,1,E,7025.892578,7014.608020,7091.349798,6992.056152,7093.552329,0.000000,176.953188,115.397939,6,6,6,0,9,15,113.84,0,449,4.00,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
24,359.525019,56.629966,359.524900,56.630044,865,30,864.763,30.293,1,+16989.3,1.0000,+572.369,adu,-10.5754,+0.0366,1,E,6970.480957,6961.559746,6972.747133,6968.763184,6972.907677,0.000000,47.368719,46.737568,6,6,6,0,9,15,113.84,0,457,3.90,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
25,359.141790,56.625429,359.141944,56.625653,86,32,86.335,32.820,1,+32933.6,1.0000,+655.364,adu,-11.2941,+0.0216,1,E,6998.193359,6981.749033,7013.441134,6996.005371,7014.068271,0.000000,93.897820,52.716016,6,6,6,0,9,15,113.84,0,449,4.12,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
26,359.154605,56.625075,359.149070,56.626170,112,30,100.863,34.338,1,+56459.4,1.0000,+889.749,adu,-11.8793,+0.0171,1,E,7022.153809,6984.138005,7040.134979,6995.156250,7040.727296,0.000000,91.427309,71.776826,6,6,6,0,9,15,113.84,0,449,11.84,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
