RAJ2000,DEJ2000,umag,gmag,Teff,Mass
0.028139, -0.7816610, 19.17, 18.83, 10772, 0.824
0.029825, -9.7277340, 19.41, 19.58, 29354, 0.477
0.051353, -0.8451580, 20.41, 20.04, 7994, 0.794
0.093897, -10.8617160, 19.29, 18.91, 8598, 0.789
0.095315, -0.1099130, 18.24, 18.21, 22222, 0.415
0.105847, 25.2906660, 20.20, 20.17, 21114, 0.576
0.141922, -5.4895420, 16.93, 16.77, 19505, 0.522
0.141964, -1.1388810, 18.26, 17.82, 12666, 0.639
0.216036, 27.4014600, 18.70, 18.65, 21176, 0.585
0.251732, -4.4619080, 18.86, 18.48, 16503, 0.447
0.266894, 0.0655060, 19.25, 18.82, 13274, 0.557
0.292066, 27.5890040, 20.31, 19.87, 13006, 0.581
0.315689, 28.9464660, 20.11, 19.76, 13242, 0.646
0.335103, -5.3613570, 20.96, 20.53, 8109, 0.738
0.361884, 27.3333700, 17.72, 17.41, 10060, 0.747
0.364573, 0.6331490, 19.04, 18.84, 18006, 0.522
0.396102, 24.8329210, 20.79, 20.41, 12759, 0.758
0.428300, 25.2511340, 19.16, 18.70, 18039, 0.618
0.499863, 27.9225290, 20.24, 19.50, 6309, 0.501
0.523208, 0.3449540, 19.95, 20.13, 18912, 0.704
0.536394, -5.1486450, 19.67, 19.43, 17302, 0.534
0.595319, -3.9052450, 20.62, 20.06, 9533, 0.650
0.596090, 27.3995930, 17.44, 17.64, 17149, 0.683
0.617328, 23.9299800, 18.70, 18.67, 26610, 0.575
0.652082, 25.6953610, 20.39, 20.24, 18502, 0.630
0.671208, -5.4408700, 19.10, 19.14, 23497, 0.511
0.691655, -1.1422070, 20.06, 19.77, 15551, 0.347
0.719916, 13.8922500, 18.95, 18.57, 8592, 0.619
0.724214, 16.1766390, 19.51, 18.97, 6593, 0.434
0.760780, 24.0988310, 19.21, 18.83, 12740, 0.656
0.784689, -9.6963890, 19.34, 18.87, 8531, 0.708
0.789401, 27.3924990, 19.89, 19.99, 26114, 0.502
0.874619, 26.8135940, 20.19, 20.06, 24242, 0.642
0.879487, -5.1905420, 19.34, 19.24, 20233, 0.618
0.942166, 26.0567420, 20.56, 20.38, 15824, 0.989
0.990099, -0.8275130, 18.92, 18.47, 9651, 1.043
1.034223, 24.2086820, 20.30, 19.80, 8636, 0.696
1.043433, -3.6690550, 17.46, 16.93, 6887, 0.459
1.045875, -5.4448070, 20.30, 19.86, 14074, 0.525
1.090144, 28.3560930, 18.90, 18.61, 16700, 0.580
1.097910, 27.3243900, 19.83, 19.41, 16237, 0.630
1.099312, 29.0175110, 19.02, 19.00, 21696, 0.611
1.120800, 0.9672540, 19.30, 18.96, 15755, 0.525
1.156925, -5.9587030, 19.63, 19.16, 14784, 0.433
1.173976, 15.4780960, 18.95, 18.54, 8598, 0.625
1.178349, 26.9890700, 20.55, 20.43, 22662, 0.461
1.196075, 24.1176660, 20.17, 20.06, 15844, 0.620
1.274385, -4.0803510, 18.22, 18.13, 22193, 0.588
1.341733, -9.5418460, 20.31, 20.27, 19288, 0.616
1.443382, -9.6652170, 19.42, 18.96, 9392, 0.567
1.444593, 29.2608240, 18.72, 18.31, 15371, 0.613
1.444794, 27.5136540, 17.36, 17.30, 19882, 0.768
1.469558, 28.1631640, 20.54, 19.92, 6882, 0.529
1.535691, -4.7783990, 19.93, 19.48, 7876, 0.397
1.546797, -4.7487740, 18.12, 17.87, 17184, 0.571
1.558464, 28.7111870, 20.67, 20.22, 15613, 0.558
1.594238, 1.1663250, 18.36, 18.67, 39070, 0.581
1.611205, 24.4115720, 18.87, 18.65, 18421, 0.574
1.627328, 0.3900480, 18.73, 18.67, 22096, 0.560
1.647348, -5.0915840, 19.26, 18.76, 6992, 0.582
1.652521, 24.6021140, 19.74, 19.38, 15934, 0.603
1.652568, 16.0438190, 19.48, 19.01, 9470, 0.703
1.671184, 27.6212960, 19.79, 19.85, 22857, 0.468
1.685693, -11.2213730, 19.88, 19.60, 15657, 0.520
1.773348, 28.3699980, 20.28, 20.08, 19178, 0.605
1.781784, 1.2417120, 19.53, 19.38, 17923, 0.535
1.802740, 24.2153550, 19.29, 19.10, 21293, 0.558
1.820174, -10.3190230, 19.04, 18.91, 19084, 0.521
1.834245, -0.3903810, 18.13, 18.20, 23886, 0.521
1.870671, -5.8561860, 19.87, 19.45, 13480, 0.547
1.878107, 27.8533170, 19.61, 19.61, 16342, 0.627
1.879879, -9.9803160, 19.47, 19.58, 22009, 0.615
1.888119, -9.3558260, 19.53, 19.76, 30638, 0.492
1.904924, -9.1081360, 18.24, 18.14, 19497, 0.558
1.908491, 0.6675870, 18.67, 18.32, 10254, 0.779
1.910491, 24.9541800, 18.87, 18.65, 17184, 0.596
1.915348, 24.7596260, 19.91, 20.27, 45121, 0.497
