RAJ2000,DEJ2000,umag,gmag,Teff,Mass
0.028139,-0.781661,19.17,18.83,10772,0.824
0.029825,-9.727734,19.41,19.58,29354,0.477
0.048197,-8.835659,19.46,19.11,10112,
0.051353,-0.845158,20.41,20.04,7994,0.794
0.093897,-10.861716,19.29,18.91,8598,0.789
0.095315,-0.109913,18.24,18.21,22222,0.415
0.105847,25.290666,20.20,20.17,21114,0.576
0.138102,29.482658,19.21,18.97,30583,
0.141922,-5.489542,16.93,16.77,19505,0.522
0.141964,-1.138881,18.26,17.82,12666,0.639
0.216036,27.401460,18.70,18.65,21176,0.585
0.218509,-0.436249,19.15,18.73,10088,
0.229656,-4.413623,19.95,19.94,14290,
0.251732,-4.461908,18.86,18.48,16503,0.447
0.266894,0.065506,19.25,18.82,13274,0.557
0.275914,25.058346,19.50,19.52,15446,
0.292066,27.589004,20.31,19.87,13006,0.581
0.315689,28.946466,20.11,19.76,13242,0.646
0.335103,-5.361357,20.96,20.53,8109,0.738
0.343778,23.992825,20.60,20.43,12362,
0.346961,-11.198876,19.08,18.51,6312,
0.361884,27.333370,17.72,17.41,10060,0.747
0.364573,0.633149,19.04,18.84,18006,0.522
0.396102,24.832921,20.79,20.41,12759,0.758
0.428300,25.251134,19.16,18.70,18039,0.618
0.499863,27.922529,20.24,19.50,6309,0.501
0.523208,0.344954,19.95,20.13,18912,0.704
0.536394,-5.148645,19.67,19.43,17302,0.534
0.595319,-3.905245,20.62,20.06,9533,0.650
0.596090,27.399593,17.44,17.64,16755,
0.596090,27.399593,17.44,17.64,17149,0.683
0.617328,23.929980,18.70,18.67,26610,0.575
0.652082,25.695361,20.39,20.24,18502,0.630
0.671208,-5.440870,19.10,19.14,23497,0.511
0.688381,-3.898721,20.21,19.61,6305,
0.691655,-1.142207,20.06,19.77,15551,0.347
0.711038,-4.844894,19.85,19.73,6300,
0.719916,13.892250,18.95,18.57,8592,0.619
0.724214,16.176639,19.51,18.97,6593,0.434
0.760780,24.098831,19.21,18.83,12740,0.656
0.784689,-9.696389,19.34,18.87,8531,0.708
0.788585,-6.042632,20.58,20.06,7570,
0.789401,27.392499,19.89,19.99,26114,0.502
0.874619,26.813594,20.19,20.06,24242,0.642
0.879487,-5.190542,19.34,19.24,20233,0.618
0.942166,26.056742,20.56,20.38,15824,0.989
0.987227,-5.059088,18.52,18.20,17678,
0.990099,-0.827513,18.92,18.47,9651,1.043
0.990099,-0.827513,18.92,18.47,9564,
1.029792,26.827696,19.89,19.85,12130,
1.034223,24.208682,20.30,19.80,8636,0.696
1.043433,-3.669055,17.46,16.93,6887,0.459
1.045875,-5.444807,20.30,19.86,14074,0.525
1.074506,-3.703176,20.07,19.54,10084,
1.090144,28.356093,18.90,18.61,16700,0.580
1.097910,27.324390,19.83,19.41,16237,0.630
1.099312,29.017511,19.02,19.00,21696,0.611
1.112289,24.549692,19.95,19.93,14229,
1.120800,0.967254,19.30,18.96,15755,0.525
1.156925,-5.958703,19.63,19.16,14784,0.433
1.164094,25.530711,20.66,20.39,11067,
1.173976,15.478096,18.95,18.54,8598,0.625
1.178349,26.989070,20.55,20.43,22662,0.461
1.192856,-10.014220,22.31,21.31,6307,
1.196075,24.117666,20.17,20.06,15844,0.620
1.199074,29.194708,20.31,19.87,23431,
1.224746,26.905673,19.94,19.60,7258,
1.270495,24.569356,19.51,18.90,7597,
1.274385,-4.080351,18.22,18.13,22193,0.588
1.291402,0.635999,17.76,18.22,50000,
1.341733,-9.541846,20.31,20.27,19288,0.616
1.379578,-5.728679,17.28,16.73,16417,
1.443382,-9.665217,19.42,18.96,9392,0.567
1.444593,29.260824,18.72,18.31,15371,0.613
1.444794,27.513654,17.36,17.30,19882,0.768
1.469558,28.163164,20.54,19.92,6882,0.529
1.482953,-10.037055,17.32,17.71,79245,
1.488321,0.309243,19.08,18.75,10120,
1.488321,0.309243,19.08,18.75,10118,
1.488321,0.309243,19.08,18.75,10118,
1.499476,-5.737800,18.56,18.32,6300,
1.535691,-4.778399,19.93,19.48,7876,0.397
1.546797,-4.748774,18.12,17.87,17184,0.571
1.558464,28.711187,20.67,20.22,15613,0.558
1.594238,1.166325,18.36,18.67,39070,0.581
1.611205,24.411572,18.87,18.65,18421,0.574
1.627328,0.390048,18.73,18.67,22096,0.560
1.647348,-5.091584,19.26,18.76,6992,0.582
1.652521,24.602114,19.74,19.38,15934,0.603
1.652568,16.043819,19.48,19.01,9470,0.703
1.671184,27.621296,19.79,19.85,22857,0.468
1.685693,-11.221373,19.88,19.60,15657,0.520
1.716307,28.779762,19.27,18.67,7533,
1.756621,24.129096,21.13,20.51,8243,
1.770919,28.351177,20.04,19.70,10088,
1.773348,28.369998,20.28,20.08,19178,0.605
1.781784,1.241712,19.53,19.38,17923,0.535
1.797528,28.646830,21.02,20.46,6300,
1.802740,24.215355,19.29,19.10,21293,0.558
1.820174,-10.319023,19.04,18.91,19084,0.521
1.834245,-0.390381,18.13,18.20,23886,0.521
1.870671,-5.856186,19.87,19.45,13480,0.547
1.878107,27.853317,19.61,19.61,16342,0.627
1.879879,-9.980316,19.47,19.58,22009,0.615
1.888119,-9.355826,19.53,19.76,30638,0.492
1.904924,-9.108136,18.24,18.14,19497,0.558
1.908491,0.667587,18.67,18.32,10254,0.779
1.910491,24.954180,18.87,18.65,17184,0.596
1.915348,24.759626,19.91,20.27,45121,0.497
1.927563,25.406263,19.82,19.98,27391,0.541
1.933571,25.222843,19.83,19.69,20048,0.623
1.945210,28.017530,20.92,20.44,10825,1.053
1.990879,-5.047651,18.90,18.57,11212,0.694
2.013023,-4.811053,19.53,19.15,15072,0.514
2.031411,-10.568213,19.30,18.96,10104,
2.043051,25.131475,19.87,19.79,39529,
2.092434,-4.791877,19.66,19.39,18052,0.564
2.123808,24.983533,19.57,19.82,33894,0.476
2.164423,25.928163,20.49,20.22,10573,
2.377168,24.365409,20.67,20.24,8776,0.672
2.443546,14.719625,17.05,17.11,23966,0.578
2.503893,25.807267,18.95,18.54,12441,0.679
2.536042,-0.311611,20.43,20.47,16263,0.472
2.540399,-9.224589,20.44,20.12,12673,0.634
2.645643,24.858666,20.23,19.84,19355,
2.661534,-0.544822,18.95,18.50,10076,0.640
2.672495,1.012076,19.84,19.31,9380,0.650
2.679184,-0.899866,19.39,18.94,7534,0.762
2.722601,25.202033,20.09,20.33,45161,0.474
2.746809,-9.388480,20.10,19.51,11418,0.400
2.756000,0.737641,20.33,19.87,10737,0.647
2.787161,0.395780,20.94,20.34,13820,0.647
2.791735,-0.256382,19.60,19.36,16546,0.498
2.801754,15.869282,19.17,19.25,29032,0.439
2.905528,-10.419195,19.04,19.37,34403,0.475
2.950836,-9.352859,18.12,17.72,12347,0.595
3.015630,-10.358587,20.60,20.28,9283,0.784
3.025155,-10.501397,19.79,19.90,19452,0.800
3.083258,-9.765466,19.32,18.97,9332,0.752
3.190024,14.665675,18.79,18.15,10893,0.482
3.196588,0.180203,20.69,20.19,6300,
3.196588,0.180203,20.69,20.19,6300,
3.224709,-1.013876,19.31,18.93,9145,
3.224709,-1.013876,19.31,18.93,8729,0.631
3.275914,0.918421,19.85,19.38,11036,0.571
3.322237,-9.816827,19.34,19.10,16546,0.570
3.351392,-8.839291,19.73,19.75,6318,
3.412942,0.323582,0.00,,9465,
3.412942,0.323582,0.00,,9444,
3.412942,0.323582,0.00,,9415,
3.413334,0.323419,15.77,15.37,9419,
3.497493,-11.144057,18.30,18.42,65370,
3.554317,0.585548,19.61,19.60,21622,0.536
3.564951,-10.584965,18.73,18.29,9752,0.747
3.612705,13.849554,18.73,18.31,8813,0.714
3.674768,-0.766810,19.43,19.00,10048,0.698
3.703490,0.340962,19.33,18.91,9040,
3.703490,0.340962,19.33,18.91,8848,0.582
3.828671,13.892475,17.69,17.27,8475,0.619
3.873949,1.089271,18.73,18.95,33894,0.600
3.954276,1.160362,21.24,20.88,6306,
3.954941,1.111356,20.69,20.35,7566,0.775
